,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Biscoe,Dream,Torgersen
0,0.2545454545454545,0.6666666666666666,0.15254237288135594,0.2916666666666667,0,0,1
1,0.26909090909090905,0.5119047619047618,0.23728813559322035,0.3055555555555556,0,0,1
2,0.29818181818181805,0.5833333333333334,0.3898305084745763,0.1527777777777778,0,0,1
3,0.4298883572567782,0.48228209412419976,0.4900882148875014,0.4171539961013645,0,0,1
4,0.16727272727272732,0.7380952380952381,0.3559322033898305,0.20833333333333334,0,0,1
5,0.26181818181818167,0.892857142857143,0.3050847457627119,0.2638888888888889,0,0,1
6,0.24727272727272717,0.5595238095238096,0.15254237288135594,0.2569444444444444,0,0,1
7,0.25818181818181823,0.773809523809524,0.3898305084745763,0.5486111111111112,0,0,1
8,0.07272727272727272,0.5952380952380955,0.3559322033898305,0.2152777777777778,0,0,1
9,0.35999999999999993,0.8452380952380951,0.3050847457627119,0.4305555555555556,0,0,1
10,0.2072727272727271,0.4761904761904764,0.23728813559322035,0.16666666666666666,0,0,1
11,0.2072727272727271,0.5000000000000001,0.13559322033898305,0.2777777777777778,0,0,1
12,0.32727272727272727,0.5357142857142859,0.1694915254237288,0.1388888888888889,0,0,1
13,0.23636363636363636,0.9642857142857142,0.3220338983050847,0.3055555555555556,0,0,1
14,0.09090909090909091,0.9523809523809526,0.4406779661016949,0.4722222222222222,0,0,1
15,0.16363636363636364,0.5595238095238096,0.22033898305084745,0.2777777777777778,0,0,1
16,0.24000000000000005,0.7023809523809524,0.3898305084745763,0.20833333333333334,0,0,1
17,0.3781818181818181,0.9047619047619047,0.423728813559322,0.5,0,0,1
18,0.08363636363636354,0.6309523809523808,0.2033898305084746,0.1736111111111111,0,0,1
19,0.5054545454545454,1.0,0.3728813559322034,0.4166666666666667,0,0,1
20,0.2072727272727271,0.6190476190476192,0.03389830508474576,0.19444444444444445,1,0,0
21,0.2036363636363637,0.6666666666666666,0.13559322033898305,0.25,1,0,0
22,0.13818181818181807,0.7261904761904762,0.288135593220339,0.3055555555555556,1,0,0
23,0.22181818181818186,0.5952380952380955,0.22033898305084745,0.3472222222222222,1,0,0
24,0.24363636363636348,0.488095238095238,0.13559322033898305,0.3055555555555556,1,0,0
25,0.11636363636363621,0.6904761904761904,0.2542372881355932,0.3055555555555556,1,0,0
26,0.3090909090909091,0.654761904761905,0.1864406779661017,0.2361111111111111,1,0,0
27,0.3054545454545454,0.5714285714285713,0.2542372881355932,0.1388888888888889,1,0,0
28,0.2109090909090908,0.654761904761905,0.0,0.125,1,0,0
29,0.3054545454545454,0.6904761904761904,0.13559322033898305,0.3472222222222222,1,0,0
30,0.26909090909090905,0.4285714285714285,0.1016949152542373,0.1527777777777778,0,1,0
31,0.1854545454545455,0.5952380952380955,0.1016949152542373,0.3333333333333333,0,1,0
32,0.26909090909090905,0.5595238095238096,0.2711864406779661,0.16666666666666666,0,1,0
33,0.3199999999999999,0.6904761904761904,0.2033898305084746,0.3333333333333333,0,1,0
34,0.15636363636363626,0.4642857142857143,0.3898305084745763,0.1736111111111111,0,1,0
35,0.25818181818181823,0.9523809523809526,0.4067796610169492,0.4027777777777778,0,1,0
36,0.24363636363636348,0.8214285714285714,0.3050847457627119,0.3472222222222222,0,1,0
37,0.3672727272727273,0.6428571428571429,0.13559322033898305,0.2361111111111111,0,1,0
38,0.2,0.7380952380952381,0.15254237288135594,0.16666666666666666,0,1,0
39,0.27999999999999986,0.7142857142857144,0.2033898305084746,0.5416666666666666,0,1,0
40,0.15999999999999995,0.5833333333333334,0.1694915254237288,0.125,0,1,0
41,0.31636363636363624,0.6309523809523808,0.3898305084745763,0.3333333333333333,0,1,0
42,0.14181818181818176,0.6428571428571429,0.23728813559322035,0.1111111111111111,0,1,0
43,0.43636363636363634,0.7857142857142856,0.4067796610169492,0.4722222222222222,0,1,0
44,0.17818181818181814,0.4523809523809522,0.22033898305084745,0.08333333333333333,0,1,0
45,0.2727272727272727,0.6785714285714287,0.3050847457627119,0.5277777777777778,0,1,0
46,0.32727272727272727,0.7023809523809524,0.1694915254237288,0.2013888888888889,0,1,0
47,0.19636363636363632,0.6904761904761904,0.11864406779661017,0.0763888888888889,0,1,0
48,0.14181818181818176,0.5714285714285713,0.3050847457627119,0.20833333333333334,0,1,0
49,0.37090909090909074,0.9642857142857142,0.3220338983050847,0.4027777777777778,0,1,0
50,0.2727272727272727,0.5476190476190476,0.23728813559322035,0.2222222222222222,1,0,0
51,0.2909090909090909,0.6904761904761904,0.2711864406779661,0.4444444444444444,1,0,0
52,0.1054545454545454,0.5714285714285713,0.3050847457627119,0.20833333333333334,1,0,0
53,0.35999999999999993,0.7619047619047619,0.4745762711864407,0.375,1,0,0
54,0.08727272727272722,0.5952380952380955,0.2542372881355932,0.05555555555555555,1,0,0
55,0.3381818181818181,0.654761904761905,0.3220338983050847,0.2777777777777778,1,0,0
56,0.25090909090909086,0.5238095238095238,0.23728813559322035,0.2361111111111111,1,0,0
57,0.3090909090909091,0.6785714285714287,0.3559322033898305,0.3055555555555556,1,0,0
58,0.15999999999999995,0.41666666666666685,0.15254237288135594,0.041666666666666664,1,0,0
59,0.2,0.7142857142857144,0.3728813559322034,0.2916666666666667,1,0,0
60,0.13090909090909095,0.4523809523809522,0.22033898305084745,0.125,1,0,0
61,0.33454545454545437,0.9523809523809526,0.3898305084745763,0.4722222222222222,1,0,0
62,0.2,0.4642857142857143,0.22033898305084745,0.25,1,0,0
63,0.32727272727272727,0.6071428571428571,0.3389830508474576,0.375,1,0,0
64,0.15636363636363626,0.4761904761904764,0.2033898305084746,0.041666666666666664,1,0,0
65,0.34545454545454546,0.5833333333333334,0.3389830508474576,0.3472222222222222,1,0,0
66,0.12363636363636359,0.369047619047619,0.3898305084745763,0.18055555555555555,1,0,0
67,0.32727272727272727,0.7142857142857144,0.2711864406779661,0.3888888888888889,1,0,0
68,0.13818181818181807,0.41666666666666685,0.3050847457627119,0.09722222222222222,0,0,1
69,0.35272727272727256,0.7499999999999999,0.4406779661016949,0.4861111111111111,0,0,1
70,0.050909090909090855,0.7023809523809524,0.3050847457627119,0.25,0,0,1
71,0.2763636363636364,0.6309523809523808,0.3050847457627119,0.3333333333333333,0,0,1
72,0.2727272727272727,0.488095238095238,0.4067796610169492,0.2361111111111111,0,0,1
73,0.498181818181818,0.6904761904761904,0.423728813559322,0.4027777777777778,0,0,1
74,0.12363636363636359,0.5238095238095238,0.3050847457627119,0.2777777777777778,0,0,1
75,0.38909090909090893,0.6428571428571429,0.3898305084745763,0.4305555555555556,0,0,1
76,0.3199999999999999,0.4404761904761906,0.3220338983050847,0.2777777777777778,0,0,1
77,0.1854545454545455,0.7499999999999999,0.2033898305084746,0.3333333333333333,0,0,1
78,0.14909090909090914,0.3571428571428573,0.2542372881355932,0.2361111111111111,0,0,1
79,0.36363636363636365,0.7142857142857144,0.3898305084745763,0.3611111111111111,0,0,1
80,0.09090909090909091,0.488095238095238,0.288135593220339,0.1388888888888889,0,0,1
81,0.39272727272727265,0.5357142857142859,0.4067796610169492,0.5555555555555556,0,0,1
82,0.16727272727272732,0.6785714285714287,0.2542372881355932,0.3055555555555556,0,0,1
83,0.10909090909090909,0.7499999999999999,0.3559322033898305,0.4166666666666667,0,0,1
84,0.18909090909090895,0.5595238095238096,0.3220338983050847,0.18055555555555555,0,1,0
85,0.33454545454545437,0.8571428571428572,0.3728813559322034,0.2361111111111111,0,1,0
86,0.15272727272727257,0.7619047619047619,0.3050847457627119,0.3055555555555556,0,1,0
87,0.17454545454545445,0.654761904761905,0.288135593220339,0.2222222222222222,0,1,0
88,0.2254545454545453,0.7261904761904762,0.288135593220339,0.3472222222222222,0,1,0
89,0.24727272727272717,0.6785714285714287,0.3050847457627119,0.25,0,1,0
90,0.13090909090909095,0.5833333333333334,0.5084745762711864,0.2361111111111111,0,1,0
91,0.32727272727272727,0.5952380952380955,0.559322033898305,0.4444444444444444,0,1,0
92,0.06909090909090904,0.4761904761904764,0.22033898305084745,0.19444444444444445,0,1,0
93,0.2727272727272727,0.5952380952380955,0.23728813559322035,0.4861111111111111,0,1,0
94,0.14909090909090914,0.5000000000000001,0.2542372881355932,0.16666666666666666,0,1,0
95,0.31636363636363624,0.6904761904761904,0.6101694915254238,0.4444444444444444,0,1,0
96,0.21818181818181817,0.654761904761905,0.3050847457627119,0.2777777777777778,0,1,0
97,0.29818181818181805,0.6428571428571429,0.4067796610169492,0.4583333333333333,0,1,0
98,0.03636363636363636,0.3571428571428573,0.1016949152542373,0.05555555555555555,0,1,0
99,0.4036363636363637,0.6428571428571429,0.3389830508474576,0.3888888888888889,0,1,0
100,0.1054545454545454,0.5714285714285713,0.3389830508474576,0.2847222222222222,1,0,0
101,0.3236363636363636,0.8214285714285714,0.5254237288135594,0.5625,1,0,0
102,0.2036363636363637,0.3452380952380953,0.1864406779661017,0.10416666666666667,1,0,0
103,0.2072727272727271,0.8214285714285714,0.3050847457627119,0.4305555555555556,1,0,0
104,0.2109090909090908,0.654761904761905,0.3559322033898305,0.0625,1,0,0
105,0.2763636363636364,0.6904761904761904,0.2033898305084746,0.2361111111111111,1,0,0
106,0.23636363636363636,0.488095238095238,0.4576271186440678,0.2916666666666667,1,0,0
107,0.22181818181818186,0.8214285714285714,0.3050847457627119,0.3333333333333333,1,0,0
108,0.21818181818181817,0.4642857142857143,0.15254237288135594,0.13194444444444445,1,0,0
109,0.4036363636363637,0.7023809523809524,0.423728813559322,0.5763888888888888,1,0,0
110,0.21818181818181817,0.40476190476190477,0.4406779661016949,0.3125,1,0,0
111,0.4909090909090909,0.8571428571428572,0.3220338983050847,0.5277777777777778,1,0,0
112,0.2763636363636364,0.5476190476190476,0.3559322033898305,0.1388888888888889,1,0,0
113,0.3672727272727273,0.7619047619047619,0.423728813559322,0.4375,1,0,0
114,0.2727272727272727,0.9047619047619047,0.3220338983050847,0.3333333333333333,1,0,0
115,0.3854545454545455,0.6190476190476192,0.4067796610169492,0.3819444444444444,1,0,0
116,0.23636363636363636,0.4642857142857143,0.2711864406779661,0.05555555555555555,0,0,1
117,0.18909090909090895,0.8809523809523809,0.4576271186440678,0.2986111111111111,0,0,1
118,0.13090909090909095,0.4642857142857143,0.288135593220339,0.18055555555555555,0,0,1
119,0.32727272727272727,0.654761904761905,0.288135593220339,0.1736111111111111,0,0,1
120,0.14909090909090914,0.488095238095238,0.2542372881355932,0.125,0,0,1
121,0.2036363636363637,0.7976190476190477,0.4406779661016949,0.2222222222222222,0,0,1
122,0.2945454545454546,0.4642857142857143,0.06779661016949153,0.20833333333333334,0,0,1
123,0.3381818181818181,0.6428571428571429,0.5084745762711864,0.3263888888888889,0,0,1
124,0.11272727272727277,0.3333333333333334,0.23728813559322035,0.09722222222222222,0,0,1
125,0.3090909090909091,0.7023809523809524,0.4576271186440678,0.3611111111111111,0,0,1
126,0.24363636363636348,0.5357142857142859,0.3220338983050847,0.1597222222222222,0,0,1
127,0.34181818181818174,0.6190476190476192,0.3898305084745763,0.4444444444444444,0,0,1
128,0.25090909090909086,0.4761904761904764,0.3220338983050847,0.09722222222222222,0,0,1
129,0.43636363636363634,0.5833333333333334,0.6440677966101694,0.3611111111111111,0,0,1
130,0.23272727272727267,0.5714285714285713,0.3050847457627119,0.1736111111111111,0,0,1
131,0.4,0.7261904761904762,0.423728813559322,0.2222222222222222,0,0,1
132,0.17090909090909076,0.6428571428571429,0.3559322033898305,0.2222222222222222,0,1,0
133,0.19636363636363632,0.6428571428571429,0.4576271186440678,0.4930555555555556,0,1,0
134,0.21818181818181817,0.5357142857142859,0.2542372881355932,0.2013888888888889,0,1,0
135,0.32727272727272727,0.5238095238095238,0.3050847457627119,0.3333333333333333,0,1,0
136,0.12727272727272726,0.5238095238095238,0.3220338983050847,0.13194444444444445,0,1,0
137,0.2945454545454546,0.8333333333333335,0.4745762711864407,0.3541666666666667,0,1,0
138,0.17818181818181814,0.40476190476190477,0.22033898305084745,0.19444444444444445,0,1,0
139,0.2763636363636364,0.5714285714285713,0.3559322033898305,0.4305555555555556,0,1,0
140,0.2945454545454546,0.4761904761904764,0.3559322033898305,0.19444444444444445,0,1,0
141,0.3090909090909091,0.488095238095238,0.2542372881355932,0.2152777777777778,0,1,0
142,0.0,0.28571428571428575,0.2711864406779661,0.09722222222222222,0,1,0
143,0.3127272727272728,0.4642857142857143,0.3050847457627119,0.2847222222222222,0,1,0
144,0.18909090909090895,0.4404761904761906,0.3389830508474576,0.08333333333333333,0,1,0
145,0.25090909090909086,0.6666666666666666,0.22033898305084745,0.2638888888888889,0,1,0
146,0.25818181818181823,0.654761904761905,0.3050847457627119,0.4305555555555556,0,1,0
147,0.16363636363636364,0.6309523809523808,0.2033898305084746,0.2152777777777778,0,1,0
148,0.14181818181818176,0.5595238095238096,0.3898305084745763,0.20833333333333334,0,1,0
149,0.2072727272727271,0.5952380952380955,0.3559322033898305,0.2916666666666667,0,1,0
150,0.14181818181818176,0.4761904761904764,0.2542372881355932,0.2777777777777778,0,1,0
151,0.34181818181818174,0.6428571428571429,0.4915254237288136,0.3611111111111111,0,1,0
152,0.5236363636363636,0.5714285714285713,0.3389830508474576,0.2222222222222222,0,1,0
153,0.6509090909090909,0.7619047619047619,0.4067796610169492,0.3333333333333333,0,1,0
154,0.698181818181818,0.7261904761904762,0.3559322033898305,0.2638888888888889,0,1,0
155,0.48363636363636353,0.6666666666666666,0.2711864406779661,0.22916666666666666,0,1,0
156,0.7490909090909091,0.7976190476190477,0.423728813559322,0.2847222222222222,0,1,0
157,0.47636363636363643,0.5595238095238096,0.4406779661016949,0.3472222222222222,0,1,0
158,0.509090909090909,0.6071428571428571,0.1016949152542373,0.1527777777777778,0,1,0
159,0.698181818181818,0.6071428571428571,0.423728813559322,0.2916666666666667,0,1,0
160,0.5054545454545454,0.6904761904761904,0.3898305084745763,0.4027777777777778,0,1,0
161,0.698181818181818,0.8095238095238093,0.4406779661016949,0.2777777777777778,0,1,0
162,0.5272727272727272,0.5595238095238096,0.3559322033898305,0.3055555555555556,0,1,0
163,0.7127272727272728,0.8571428571428572,0.3728813559322034,0.2986111111111111,0,1,0
164,0.5418181818181818,0.5000000000000001,0.22033898305084745,0.2777777777777778,0,1,0
165,0.7236363636363636,0.5952380952380955,0.4915254237288136,0.375,0,1,0
166,0.5018181818181817,0.4761904761904764,0.3050847457627119,0.24305555555555555,0,1,0
167,0.6690909090909091,0.773809523809524,0.4915254237288136,0.375,0,1,0
168,0.6618181818181816,0.8214285714285714,0.423728813559322,0.16666666666666666,0,1,0
169,0.9418181818181818,0.5595238095238096,0.15254237288135594,0.2777777777777778,0,1,0
170,0.5199999999999999,0.654761904761905,0.3050847457627119,0.20833333333333334,0,1,0
